Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xa3c16393341c69475fa002350d2db67b0c00fa87,"21,553,790.5921200090230202",0.2155%,"$3,290,708.33",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xa3c16393341c69475fa002350d2db67b0c00fa87#tokenAnalytics
52,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x5adebde6e9b5de18a5e8231b2f3b830d3c259a35,"21,485,369.645324953693496",0.2149%,"$3,280,262.21",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x5adebde6e9b5de18a5e8231b2f3b830d3c259a35#tokenAnalytics
53,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xe9e0582dd79620e8e347a5b34ead861ad3d0746f,"21,485,369.645324953693496",0.2149%,"$3,280,262.21",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xe9e0582dd79620e8e347a5b34ead861ad3d0746f#tokenAnalytics
54,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x7496d773079aa2beffdad554388599663714f99f,"21,313,321.8784127090804108",0.2131%,"$3,253,994.95",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x7496d773079aa2beffdad554388599663714f99f#tokenAnalytics
55,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x98bdf71a6914c409402b510b8d67c4c093b27686,"21,235,648.6999745037015304",0.2124%,"$3,242,136.26",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x98bdf71a6914c409402b510b8d67c4c093b27686#tokenAnalytics
56,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x988f58b44dd225a59684c3b8b6f103db7a4327b7,"21,135,592.5023497706320412",0.2114%,"$3,226,860.26",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x988f58b44dd225a59684c3b8b6f103db7a4327b7#tokenAnalytics
57,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x345d2b5a8853c11d531bfef7b35022d935d4bdde,"21,094,233.714009340511522999",0.2109%,"$3,220,545.83",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x345d2b5a8853c11d531bfef7b35022d935d4bdde#tokenAnalytics
58,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb6c80529eb52fcbab764f6f9ed2b9d3a5ea5879b,"21,059,490.026759030407601",0.2106%,"$3,215,241.37",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb6c80529eb52fcbab764f6f9ed2b9d3a5ea5879b#tokenAnalytics
59,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x3b86d554a62d00d57c8e1170f5b295a1a3f206b9,"21,059,490.026759030407601",0.2106%,"$3,215,241.37",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x3b86d554a62d00d57c8e1170f5b295a1a3f206b9#tokenAnalytics
60,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xd77c0028d095908c0b67a9e6f379cc11c3d51ad8,"20,902,988.807534598501996634",0.2090%,"$3,191,347.67",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xd77c0028d095908c0b67a9e6f379cc11c3d51ad8#tokenAnalytics
61,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xf60c2ea62edbfe808163751dd0d8693dcb30019c,"20,885,297.529785580435262871",0.2089%,"$3,188,646.66",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xf60c2ea62edbfe808163751dd0d8693dcb30019c#tokenAnalytics
62,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb5200acc829614da8c5caf317d09f60b0ac776ef,"20,792,597.9719998887969777",0.2079%,"$3,174,493.83",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb5200acc829614da8c5caf317d09f60b0ac776ef#tokenAnalytics
63,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x168f8469ac17dd39cd9a2c2ead647f814a488ce9,"19,187,541.935560626209674691",0.1919%,"$2,929,443.14",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x168f8469ac17dd39cd9a2c2ead647f814a488ce9#tokenAnalytics
64,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb8ba36e591facee901ffd3d5d82df491551ad7ef,"18,433,514.84317052",0.1843%,"$2,814,322.64",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xb8ba36e591facee901ffd3d5d82df491551ad7ef#tokenAnalytics
65,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xe49ea0019414503ed62ae7647fd6358944581fa0,"17,666,666",0.1767%,"$2,697,244.58",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0xe49ea0019414503ed62ae7647fd6358944581fa0#tokenAnalytics
66,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x0c769f85e149e065126648fec50fe5520ed807fd,"16,362,588.07230498583963492",0.1636%,"$2,498,145.49",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x0c769f85e149e065126648fec50fe5520ed807fd#tokenAnalytics
67,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,"16,319,858.785902362523503897",0.1632%,"$2,491,621.83",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc#tokenAnalytics
68,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x21a31ee1afc51d94c2efccaa2092ad1028285549,"15,824,648.16197619",0.1582%,"$2,416,015.93",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x21a31ee1afc51d94c2efccaa2092ad1028285549#tokenAnalytics
69,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x4aa91cfd4393fd116e9ea76957a7d2b84961ee0f,"15,806,812.1639941492633842",0.1581%,"$2,413,292.83",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x4aa91cfd4393fd116e9ea76957a7d2b84961ee0f#tokenAnalytics
70,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x0def48b2a13fff74ca6039eabb5c477d8027ab87,"15,771,207.372224390517906",0.1577%,"$2,407,856.90",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x0def48b2a13fff74ca6039eabb5c477d8027ab87#tokenAnalytics
71,https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x476e4437975c81906079b174c2a6a3348d8bbd96,"15,771,207.372224390517906",0.1577%,"$2,407,856.90",https://etherscan.io/token/0x8290333cef9e6d528dd5618fb97a76f268f3edd4?a=0x476e4437975c81906079b174c2a6a3348d8bbd96#tokenAnalytics
