Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x9c8093fe894db52f5f9427ddf17ee2ded3581e67,"5,806,917.7921699212433392",0.3871%,"$9,987,898.60",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x9c8093fe894db52f5f9427ddf17ee2ded3581e67#tokenAnalytics
52,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xd6216fc19db775df9774a6e33526131da7d19a2c,"5,669,900",0.3780%,"$9,752,228.00",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xd6216fc19db775df9774a6e33526131da7d19a2c#tokenAnalytics
53,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xfda18c67bc3b0889776061d09ec015156dff309b,"5,380,685.3929509827646528",0.3587%,"$9,254,778.88",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xfda18c67bc3b0889776061d09ec015156dff309b#tokenAnalytics
54,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x19184ab45c40c2920b0e0e31413b9434abd243ed,"5,262,756.62334323",0.3509%,"$9,051,941.39",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x19184ab45c40c2920b0e0e31413b9434abd243ed#tokenAnalytics
55,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xb2297e2975682882162116b92bc76f510b754a18,"5,229,512.281328324730119",0.3486%,"$8,994,761.12",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xb2297e2975682882162116b92bc76f510b754a18#tokenAnalytics
56,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x1a69e3c1deeb9d882b82e49b530739d3f7824145,"4,985,448.431368538654614934",0.3324%,"$8,574,971.30",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x1a69e3c1deeb9d882b82e49b530739d3f7824145#tokenAnalytics
57,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,"4,887,234.284512680512310424",0.3258%,"$8,406,042.97",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2#tokenAnalytics
58,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x17949f8a6f96cb6f4eee41f333ba76f5fd1b0f04,"4,880,693.952385734094680637",0.3254%,"$8,394,793.60",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x17949f8a6f96cb6f4eee41f333ba76f5fd1b0f04#tokenAnalytics
59,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,"4,864,991.967689211643366937",0.3243%,"$8,367,786.18",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66#tokenAnalytics
60,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xcb25966330044310ecd09634ea6b1f4190d5b10d,"4,803,922.1436961",0.3203%,"$8,262,746.09",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xcb25966330044310ecd09634ea6b1f4190d5b10d#tokenAnalytics
61,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xf558212da3053db61bcbd4ccdb294e2b5fe4bdff,"4,430,899.15754105",0.2954%,"$7,621,146.55",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xf558212da3053db61bcbd4ccdb294e2b5fe4bdff#tokenAnalytics
62,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x45e039e1bc64802e161997cb3ec4b95065a094eb,"4,413,275.1619622500592392",0.2942%,"$7,590,833.28",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x45e039e1bc64802e161997cb3ec4b95065a094eb#tokenAnalytics
63,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x5f65f7b609678448494de4c87521cdf6cef1e932,"4,365,963.336903348977168626",0.2911%,"$7,509,456.94",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x5f65f7b609678448494de4c87521cdf6cef1e932#tokenAnalytics
64,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x78349ed097638724e59a9014fab6c95fdd8688e7,"4,334,335.2822966303784722",0.2890%,"$7,455,056.69",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x78349ed097638724e59a9014fab6c95fdd8688e7#tokenAnalytics
65,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x001d934fb3561bccfdd4457b340367cd2be74d4f,"4,226,093.489709487286509",0.2817%,"$7,268,880.80",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x001d934fb3561bccfdd4457b340367cd2be74d4f#tokenAnalytics
66,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x34357d86589d33961d864bf356e789fa55d5600f,"4,134,128.858047462817432574",0.2756%,"$7,110,701.64",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0x34357d86589d33961d864bf356e789fa55d5600f#tokenAnalytics
67,https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xd7f560a69f5805a874309986d0b31d632d536b15,"4,006,245.4173078231368368",0.2671%,"$6,890,742.12",https://etherscan.io/token/0x0d8775f648430679a709e98d2b0cb6250d2887ef?a=0xd7f560a69f5805a874309986d0b31d632d536b15#tokenAnalytics
