Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x09db1d5ac1f3a2b6162164790556fb1ff29f7094,"140,530",0.1405%,"$14,835,752.10",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x09db1d5ac1f3a2b6162164790556fb1ff29f7094#tokenAnalytics
52,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x709f79a28ef1f26967fc8b4c6f3b98225229e62f,"139,404",0.1394%,"$14,716,880.28",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x709f79a28ef1f26967fc8b4c6f3b98225229e62f#tokenAnalytics
53,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x88182dd2a24019519fd40f99612ec93f6618bf41,"139,302",0.1393%,"$14,706,112.14",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x88182dd2a24019519fd40f99612ec93f6618bf41#tokenAnalytics
54,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xde10ea78398a404b6d4e0f0c61db15cfc3a2c74e,"139,098",0.1391%,"$14,684,575.86",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xde10ea78398a404b6d4e0f0c61db15cfc3a2c74e#tokenAnalytics
55,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x9a5bcefe5a215b13215639de87dc01b13f783c1e,"138,654",0.1387%,"$14,637,702.78",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x9a5bcefe5a215b13215639de87dc01b13f783c1e#tokenAnalytics
56,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xdc073ae6ee049de0781d56f5c2101bdb45abde27,"137,310",0.1373%,"$14,495,816.70",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xdc073ae6ee049de0781d56f5c2101bdb45abde27#tokenAnalytics
57,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x46f10c066ef690fd50099edf45a9a5ba52faa472,"136,400",0.1364%,"$14,399,748.00",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x46f10c066ef690fd50099edf45a9a5ba52faa472#tokenAnalytics
58,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x280a58fe0daa2ac1a8d870f18af0fcdfa48bb4d9,"136,332",0.1363%,"$14,392,569.24",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0x280a58fe0daa2ac1a8d870f18af0fcdfa48bb4d9#tokenAnalytics
59,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xccf8fdf229f8ff05040db6b098e5e94ce3ec19b1,"135,126",0.1351%,"$14,265,251.82",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xccf8fdf229f8ff05040db6b098e5e94ce3ec19b1#tokenAnalytics
60,https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xb38a1f7c37b06fbac77186f5493186d65f9e05b9,"135,074",0.1351%,"$14,259,762.18",https://etherscan.io/token/0x41C37A4683d6a05adB31c39D71348A8403B13Ca9?a=0xb38a1f7c37b06fbac77186f5493186d65f9e05b9#tokenAnalytics
