Rank,Address,Quantity,Percentage,Value,Analytics
101,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x6a8dc8b5dc675d444076aee8333481b54128ae91,"229,294",0.0229%,"$116,215.48",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x6a8dc8b5dc675d444076aee8333481b54128ae91#tokenAnalytics
102,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x753ee9b33466439ab49a625960e377a9768cca61,"219,519.8915",0.0220%,"$111,261.57",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x753ee9b33466439ab49a625960e377a9768cca61#tokenAnalytics
103,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x369ee4bd514b1d54039aa377518a5e902c26c995,"217,999.89337866",0.0218%,"$110,491.17",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x369ee4bd514b1d54039aa377518a5e902c26c995#tokenAnalytics
104,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xa3c6a96c9bafb224bcbd0e32e35cfa15466c8eb0,"212,404.19406133",0.0212%,"$107,655.04",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xa3c6a96c9bafb224bcbd0e32e35cfa15466c8eb0#tokenAnalytics
105,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,"210,972.41285855",0.0211%,"$106,929.36",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xadb2b42f6bd96f5c65920b9ac88619dce4166f94#tokenAnalytics
106,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xce7731cc79c7a9a98082016d43b2a938f7bbcb5c,"206,654.85936665",0.0207%,"$104,741.05",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xce7731cc79c7a9a98082016d43b2a938f7bbcb5c#tokenAnalytics
107,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb0c94d2088a470cfc9cc522aa556f5745702e5c5,"200,178",0.0200%,"$101,458.31",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb0c94d2088a470cfc9cc522aa556f5745702e5c5#tokenAnalytics
108,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x5064362bf123f84fd751b2b5351055ac9e764cf7,"200,000.00007014",0.0200%,"$101,368.10",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x5064362bf123f84fd751b2b5351055ac9e764cf7#tokenAnalytics
109,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xcd7ddf2037930e9eb28f83731cd7e465aee2838b,"200,000",0.0200%,"$101,368.10",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xcd7ddf2037930e9eb28f83731cd7e465aee2838b#tokenAnalytics
110,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb190f754bf74b72566dc8b98358926890e77f036,"200,000",0.0200%,"$101,368.10",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb190f754bf74b72566dc8b98358926890e77f036#tokenAnalytics
111,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xf476e1267f86247cc908816f2e7ad5388c952db0,"200,000",0.0200%,"$101,368.10",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xf476e1267f86247cc908816f2e7ad5388c952db0#tokenAnalytics
112,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xa4ca3e04ef384070d0867cc3f1217059be3e769b,"200,000",0.0200%,"$101,368.10",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xa4ca3e04ef384070d0867cc3f1217059be3e769b#tokenAnalytics
113,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x2a4b9ad9cf6ccf642abd502e025e98eb125c0149,"199,949.99",0.0200%,"$101,342.75",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x2a4b9ad9cf6ccf642abd502e025e98eb125c0149#tokenAnalytics
114,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x0b6bc92a1fbafc8f1e33dcecc87e309e91f81bf3,"193,357.66590789",0.0193%,"$98,001.49",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x0b6bc92a1fbafc8f1e33dcecc87e309e91f81bf3#tokenAnalytics
115,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb719dacd6a94da71124fa1c1fb4753f122617160,"189,665.22795148",0.0190%,"$96,130.01",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb719dacd6a94da71124fa1c1fb4753f122617160#tokenAnalytics
116,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x599aa2feaeec1c4caa33da6b7fbd0e6578953c96,"186,450.35441928",0.0186%,"$94,500.59",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x599aa2feaeec1c4caa33da6b7fbd0e6578953c96#tokenAnalytics
117,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb15ea921445242af67e5eead9d25999c9f8e0a26,"184,037.39786246",0.0184%,"$93,277.60",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xb15ea921445242af67e5eead9d25999c9f8e0a26#tokenAnalytics
118,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899,"181,700.34985156",0.0182%,"$92,093.09",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899#tokenAnalytics
119,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x0e92fc391a6a0c3e38a0555c40ad3af796cde44c,"176,497.43598577",0.0176%,"$89,456.04",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0x0e92fc391a6a0c3e38a0555c40ad3af796cde44c#tokenAnalytics
120,https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xad735238e52d4fe6e55cb50850c674e845c9a4cc,"175,152",0.0175%,"$88,774.12",https://etherscan.io/token/0x41e5560054824ea6b0732e656e3ad64e20e94e45?a=0xad735238e52d4fe6e55cb50850c674e845c9a4cc#tokenAnalytics
