Rank,Address,Quantity,Percentage,Value,Analytics
101,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1df1427f179137acba7612dd5641931bb974a74e,"3,266.304",0.0033%,"$16,028.13",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1df1427f179137acba7612dd5641931bb974a74e#tokenAnalytics
102,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x935d11050c3a6ec573c0d32c06c6710903865eb5,"3,236.15299999999983616",0.0032%,"$15,880.18",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x935d11050c3a6ec573c0d32c06c6710903865eb5#tokenAnalytics
103,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd973ed5e8fcf9bac9007012dbaef11e0c40a8f60,"3,199.15900000000016384",0.0032%,"$15,698.64",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd973ed5e8fcf9bac9007012dbaef11e0c40a8f60#tokenAnalytics
104,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x653cfa88c34da1f55a3dbe3343e8e312f594f33a,"3,173.28",0.0032%,"$15,571.65",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x653cfa88c34da1f55a3dbe3343e8e312f594f33a#tokenAnalytics
105,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x158869a7951b790eef11dd77ae40e1bcb0b7dfcd,"3,166.296000000000262144",0.0032%,"$15,537.38",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x158869a7951b790eef11dd77ae40e1bcb0b7dfcd#tokenAnalytics
106,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xec8fa63bb54fd7000e4b9e786df442c534fc50fb,"3,113.548529999999926272",0.0031%,"$15,278.54",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xec8fa63bb54fd7000e4b9e786df442c534fc50fb#tokenAnalytics
107,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2977ea329d8715837e7c479723800dbe19c60eb4,"3,101.34878289",0.0031%,"$15,218.68",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2977ea329d8715837e7c479723800dbe19c60eb4#tokenAnalytics
108,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd89347baa59174c0535cbfa52c80c3ff9ebdb78a,"3,000.002999999999770624",0.0030%,"$14,721.36",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd89347baa59174c0535cbfa52c80c3ff9ebdb78a#tokenAnalytics
109,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe8254962de78c2c5af74083829f55c003f01e2c6,"3,000",0.0030%,"$14,721.35",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe8254962de78c2c5af74083829f55c003f01e2c6#tokenAnalytics
110,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3a63bb23d7c6e13df0dce73b05b987aa4e66ff6c,"2,988",0.0030%,"$14,662.46",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3a63bb23d7c6e13df0dce73b05b987aa4e66ff6c#tokenAnalytics
111,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x245de46abeafdd03f06bd18767db5f2feb15bd47,"2,967.168",0.0030%,"$14,560.24",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x245de46abeafdd03f06bd18767db5f2feb15bd47#tokenAnalytics
112,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x370ff1d833214dae4584fecaa18f3d591193832b,"2,950.239000007532347392",0.0030%,"$14,477.16",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x370ff1d833214dae4584fecaa18f3d591193832b#tokenAnalytics
113,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb0c70403ece7adff8e43536167ba7e573530e894,"2,821.501000000000229376",0.0028%,"$13,845.43",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb0c70403ece7adff8e43536167ba7e573530e894#tokenAnalytics
114,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf67eafb5523a83fc80ad876bf70677a6e3d88a05,"2,820.84434",0.0028%,"$13,842.21",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf67eafb5523a83fc80ad876bf70677a6e3d88a05#tokenAnalytics
115,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xa1193a31e782abddd8075a3f7bec00fadc12df27,"2,809.91693",0.0028%,"$13,788.59",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xa1193a31e782abddd8075a3f7bec00fadc12df27#tokenAnalytics
