Rank,Address,Quantity,Percentage,Value,Analytics
51,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xb25add8e673a7e1a21815a38c5709bab3414e97b,"1,366.868570189438808364",0.0973%,"$5,916,099.52",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xb25add8e673a7e1a21815a38c5709bab3414e97b#tokenAnalytics
52,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x7917ee245442c81d7d5d9c224142cff3b8c59fd5,"1,353.69841216",0.0963%,"$5,859,096.26",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x7917ee245442c81d7d5d9c224142cff3b8c59fd5#tokenAnalytics
53,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x8b50bdb57f16a165533b7908719a913cc8a67aa2,"1,349.4",0.0960%,"$5,840,491.81",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x8b50bdb57f16a165533b7908719a913cc8a67aa2#tokenAnalytics
54,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x07f1e0198b3c7d604f0a99548a2e7a1c2cec845b,"1,342.272784904145428405",0.0955%,"$5,809,643.70",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x07f1e0198b3c7d604f0a99548a2e7a1c2cec845b#tokenAnalytics
55,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xa78a6f3d391e272e7c0c40e8e5571558c6cf36c7,"1,328.190388613254803462",0.0945%,"$5,748,692.07",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xa78a6f3d391e272e7c0c40e8e5571558c6cf36c7#tokenAnalytics
56,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xccf771bd119cca767cdeee70fd20ca1cb8753a35,"1,310.678504021051951786",0.0933%,"$5,672,896.89",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xccf771bd119cca767cdeee70fd20ca1cb8753a35#tokenAnalytics
57,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x4bee70822f11af9ef66806caaaa72e7df99db4c2,"1,300.243068028749369548",0.0925%,"$5,627,730.09",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x4bee70822f11af9ef66806caaaa72e7df99db4c2#tokenAnalytics
58,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xd765063467323c60bc3f99c4e9c67cc4e4868886,"1,295.461458395212922326",0.0922%,"$5,607,034.26",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xd765063467323c60bc3f99c4e9c67cc4e4868886#tokenAnalytics
59,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xd6216fc19db775df9774a6e33526131da7d19a2c,"1,295",0.0922%,"$5,605,036.97",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0xd6216fc19db775df9774a6e33526131da7d19a2c#tokenAnalytics
60,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x6d4dc6ec72adf853662df28679c511a6406771ee,"1,294.80031606",0.0922%,"$5,604,172.70",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x6d4dc6ec72adf853662df28679c511a6406771ee#tokenAnalytics
61,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x5b67d3f7a30715374215e1c979e6d61b3c2cce03,"1,272.738565429300238502",0.0906%,"$5,508,684.72",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x5b67d3f7a30715374215e1c979e6d61b3c2cce03#tokenAnalytics
62,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x536f266fb6534556fb7bec8264f9652ce9fdba1a,"1,200.0811",0.0854%,"$5,194,207.67",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x536f266fb6534556fb7bec8264f9652ce9fdba1a#tokenAnalytics
63,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x1078a59f98b392079467640deaa37925f171c8a8,"1,196.149523110838946723",0.0851%,"$5,177,190.97",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x1078a59f98b392079467640deaa37925f171c8a8#tokenAnalytics
64,https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x224bf56e442cd4d048898ce0f162b20e2ea0ac2d,"1,131.783722176977506289",0.0806%,"$4,898,602.02",https://bscscan.com/token/0x2170ed0880ac9a755fd29b2688956bd959f933f8?a=0x224bf56e442cd4d048898ce0f162b20e2ea0ac2d#tokenAnalytics
