Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x1f7a9b9c20426a78f4574af5394db5469c2dc57c,"91,807,944,960,448.483505009",0.0918%,"$500,904.15",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x1f7a9b9c20426a78f4574af5394db5469c2dc57c#tokenAnalytics
52,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc371ed9ac64b370c0d59cb2fb5ec77f017782fbf,"91,236,092,051,529.360650941",0.0912%,"$497,784.12",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc371ed9ac64b370c0d59cb2fb5ec77f017782fbf#tokenAnalytics
53,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x39733530d2c01df35b783a62547661845ffcd2cc,"89,158,181,636,492.893842963",0.0892%,"$486,447.04",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x39733530d2c01df35b783a62547661845ffcd2cc#tokenAnalytics
54,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe09e75e0ff83671f4571052a5550457a23498602,"89,136,217,135,893.181372104",0.0891%,"$486,327.20",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe09e75e0ff83671f4571052a5550457a23498602#tokenAnalytics
55,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x3b166b82e6632b829524aca4ce2dcfadfb10428f,"86,413,769,807,036.849691783",0.0864%,"$471,473.53",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x3b166b82e6632b829524aca4ce2dcfadfb10428f#tokenAnalytics
56,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc9e717359e7d167ab7d700b04066ca416b164be4,"82,035,147,190,273.27458613",0.0820%,"$447,583.76",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xc9e717359e7d167ab7d700b04066ca416b164be4#tokenAnalytics
57,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x70477a60b348fc706f8729d1c509d2bab5fa7e58,"81,571,682,250,398.445612368",0.0816%,"$445,055.10",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x70477a60b348fc706f8729d1c509d2bab5fa7e58#tokenAnalytics
58,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xa8539ebf263104e366ee7e7731830e73a3be0618,"81,256,896,345,435.868145864",0.0813%,"$443,337.63",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xa8539ebf263104e366ee7e7731830e73a3be0618#tokenAnalytics
59,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x46ffbc26fdfe38fb89a6f5c33a0cb85155c45300,"72,555,888,799,409.809052961",0.0726%,"$395,864.93",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0x46ffbc26fdfe38fb89a6f5c33a0cb85155c45300#tokenAnalytics
60,https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe9493cb489db0fafdfdcb7427fa6fa4c4be28844,"71,925,461,935,823.373996942",0.0719%,"$392,425.32",https://etherscan.io/token/0x389999216860ab8e0175387a0c90e5c52522c945?a=0xe9493cb489db0fafdfdcb7427fa6fa4c4be28844#tokenAnalytics
