Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x74c52ca2e118a3edc7be629bcaa3b70966b80e1f,"185,706,245",0.5134%,"$135,494,465.73",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x74c52ca2e118a3edc7be629bcaa3b70966b80e1f#tokenAnalytics
52,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xb4821a2186e669cfe2a83f0d5c0a986c692d7e31,"183,902,213",0.5084%,"$134,178,213.00",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xb4821a2186e669cfe2a83f0d5c0a986c692d7e31#tokenAnalytics
53,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x105103b86969cdd7d9f7da2d1f715e14fd85909e,"183,194,916",0.5065%,"$133,662,156.96",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x105103b86969cdd7d9f7da2d1f715e14fd85909e#tokenAnalytics
54,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x3e45c7c8d12c75fef41764fed7aa283bcb18e050,"183,169,059",0.5064%,"$133,643,291.25",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x3e45c7c8d12c75fef41764fed7aa283bcb18e050#tokenAnalytics
55,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x0c28e303a42dd44bf75703daa72827a4a88c17c2,"182,117,257",0.5035%,"$132,875,878.45",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x0c28e303a42dd44bf75703daa72827a4a88c17c2#tokenAnalytics
56,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xecbbfe29fcdc13b47eda2e24f9be73c39be3db73,"181,951,835",0.5031%,"$132,755,183.72",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xecbbfe29fcdc13b47eda2e24f9be73c39be3db73#tokenAnalytics
57,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xcad9256b909271ac14b868c9c7c63bde5c2df162,"180,057,424",0.4978%,"$131,372,988.92",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xcad9256b909271ac14b868c9c7c63bde5c2df162#tokenAnalytics
58,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xd6216fc19db775df9774a6e33526131da7d19a2c,"137,774,641",0.3809%,"$100,522,744.26",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xd6216fc19db775df9774a6e33526131da7d19a2c#tokenAnalytics
59,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x077e5380cdf6b7f8e8a08c73c31a4d566936ed24,"128,095,570",0.3542%,"$93,460,727.83",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x077e5380cdf6b7f8e8a08c73c31a4d566936ed24#tokenAnalytics
60,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x20b255c0f069a9c7dc1dd0489ce7be4d10ab1079,"126,844,163",0.3507%,"$92,547,679.79",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0x20b255c0f069a9c7dc1dd0489ce7be4d10ab1079#tokenAnalytics
61,https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc09bb8e2b5f972cfff419f6f8382e9f78ffd8fd6,"126,517,200",0.3498%,"$92,309,121.97",https://etherscan.io/token/0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA?a=0xc09bb8e2b5f972cfff419f6f8382e9f78ffd8fd6#tokenAnalytics
