Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x21a31ee1afc51d94c2efccaa2092ad1028285549,"84,721.38",0.0847%,"$1,419,083.12",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x21a31ee1afc51d94c2efccaa2092ad1028285549#tokenAnalytics
52,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,"80,515",0.0805%,"$1,348,626.25",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xf584f8728b874a6a5c7a8d4d387c9aae9172d621#tokenAnalytics
53,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x70561d0f79a4a45b2246eaa644c64dbedadadb11,"77,139.8697461076470582",0.0771%,"$1,292,092.82",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x70561d0f79a4a45b2246eaa644c64dbedadadb11#tokenAnalytics
54,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xb60227f75550cdadb713b71d7fc7426cf92b4ef8,"75,376.7726544547606688",0.0754%,"$1,262,560.94",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xb60227f75550cdadb713b71d7fc7426cf92b4ef8#tokenAnalytics
55,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x8d52101b51f0e4d35f3cc868f768be53d72bf26e,"74,019.672793030775574",0.0740%,"$1,239,829.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x8d52101b51f0e4d35f3cc868f768be53d72bf26e#tokenAnalytics
56,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x6314ea97c7500f3302fbff75450123b5e57aef99,"73,885.867729217681188751",0.0739%,"$1,237,588.28",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x6314ea97c7500f3302fbff75450123b5e57aef99#tokenAnalytics
57,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x31fa985bb0c282a814e7f3f0dce88b2a44197f60,"73,008.726456995200666179",0.0730%,"$1,222,896.17",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x31fa985bb0c282a814e7f3f0dce88b2a44197f60#tokenAnalytics
58,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xf0acfa5f95d1136688879e30ab627b82c196398a,"72,195.4",0.0722%,"$1,209,272.95",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xf0acfa5f95d1136688879e30ab627b82c196398a#tokenAnalytics
59,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xc391ccbdbc44702fa43fc4dc66b9543ba6c1815d,"71,378.0590554602056584",0.0714%,"$1,195,582.49",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xc391ccbdbc44702fa43fc4dc66b9543ba6c1815d#tokenAnalytics
60,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xbdde2247e489d956551daa56f2b3f96080c463c1,"71,110.938090200469464566",0.0711%,"$1,191,108.21",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xbdde2247e489d956551daa56f2b3f96080c463c1#tokenAnalytics
61,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x0551d9224bb1416c577c392763d12fa9f6871e20,"71,094.9566079404423376",0.0711%,"$1,190,840.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x0551d9224bb1416c577c392763d12fa9f6871e20#tokenAnalytics
62,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x70fccaac2471f3e5ed6d04c308062ef04490ad80,"71,094.9566079404423376",0.0711%,"$1,190,840.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x70fccaac2471f3e5ed6d04c308062ef04490ad80#tokenAnalytics
63,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x912bc27ef0aad03f9bc3d23b7a5e5fdb83797233,"71,094.9566079404423376",0.0711%,"$1,190,840.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x912bc27ef0aad03f9bc3d23b7a5e5fdb83797233#tokenAnalytics
64,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x4c092082a8bba5be3068a631ea4324dd8b4fe90c,"71,094.9566079404423376",0.0711%,"$1,190,840.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x4c092082a8bba5be3068a631ea4324dd8b4fe90c#tokenAnalytics
65,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x6b5484ef54ce0d8ab0064b6f678f4a949b56dfdd,"71,094.9566079404423376",0.0711%,"$1,190,840.52",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x6b5484ef54ce0d8ab0064b6f678f4a949b56dfdd#tokenAnalytics
66,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x94b27b52e0a188c3d5c4be7e39d04094cbf1a5bf,"69,444.39",0.0694%,"$1,163,193.53",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x94b27b52e0a188c3d5c4be7e39d04094cbf1a5bf#tokenAnalytics
67,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xa40bb1c47f6dd27142a2bd7c93bfa98db9d1f5c5,"66,034.922576438522282475",0.0660%,"$1,106,084.95",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xa40bb1c47f6dd27142a2bd7c93bfa98db9d1f5c5#tokenAnalytics
68,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x66bb5a50aee51116ebba602cef5727da195ea815,"64,446.66",0.0644%,"$1,079,481.56",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0x66bb5a50aee51116ebba602cef5727da195ea815#tokenAnalytics
69,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xb76e40277b79b78dfa954cbec863d0e4fd0656ca,"58,364",0.0584%,"$977,597.00",https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074?a=0xb76e40277b79b78dfa954cbec863d0e4fd0656ca#tokenAnalytics
