Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xd6c2b2ea553040baf2352c541ace59a3c189d056,"829,005.62062337",0.1951%,"$2,520,177.09",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xd6c2b2ea553040baf2352c541ace59a3c189d056#tokenAnalytics
52,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x9a7e938073db704dcfb4a87f09b86de9a01785a4,"828,573.73550256",0.1950%,"$2,518,864.16",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x9a7e938073db704dcfb4a87f09b86de9a01785a4#tokenAnalytics
53,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x82ce5d61cf7b28b530f3a65c42c63b1c4b32464e,"827,711.45125482",0.1948%,"$2,516,242.81",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x82ce5d61cf7b28b530f3a65c42c63b1c4b32464e#tokenAnalytics
54,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x3630d3668268e963d2ba2c40266104e67560d36d,"820,450.54243402",0.1930%,"$2,494,169.65",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x3630d3668268e963d2ba2c40266104e67560d36d#tokenAnalytics
55,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x6807ec42e05104c4142219899f22919a9f416939,"817,800.63096996",0.1924%,"$2,486,113.92",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x6807ec42e05104c4142219899f22919a9f416939#tokenAnalytics
56,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xa541664b4c656f11a97fa25c219be88f06d3f91c,"774,702.3",0.1823%,"$2,355,094.99",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xa541664b4c656f11a97fa25c219be88f06d3f91c#tokenAnalytics
57,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x5f65f7b609678448494de4c87521cdf6cef1e932,"771,239.70969311",0.1815%,"$2,344,568.72",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x5f65f7b609678448494de4c87521cdf6cef1e932#tokenAnalytics
58,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xc5357bb3eef6a7f7a70060de288de9f4a8d34eac,"740,637.1766",0.1743%,"$2,251,537.02",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xc5357bb3eef6a7f7a70060de288de9f4a8d34eac#tokenAnalytics
59,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x6262998ced04146fa42253a5c0af90ca02dfd2a3,"722,206.10638871",0.1699%,"$2,195,506.56",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0x6262998ced04146fa42253a5c0af90ca02dfd2a3#tokenAnalytics
60,https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xf60c2ea62edbfe808163751dd0d8693dcb30019c,"705,661.42137823",0.1660%,"$2,145,210.72",https://etherscan.io/token/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac?a=0xf60c2ea62edbfe808163751dd0d8693dcb30019c#tokenAnalytics
