Rank,Address,Quantity,Percentage,Value,Analytics
1,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x7a3abf8897f31b56f09c6f69d074a393a905c1ac,"186,196,415.69634703196347032",8.4866%,"$777,406,226.08",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x7a3abf8897f31b56f09c6f69d074a393a905c1ac#tokenAnalytics
2,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa3a90cacfd83ea4b114d5d7a24b54b42f670af94,"183,168,576.731354642313546424",8.3486%,"$764,764,409.89",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa3a90cacfd83ea4b114d5d7a24b54b42f670af94#tokenAnalytics
3,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xefb94ac00f1cee8a89d5c3f49faa799da6f03024,"154,315,983.951084404589097173",7.0336%,"$644,299,227.02",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xefb94ac00f1cee8a89d5c3f49faa799da6f03024#tokenAnalytics
4,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xf977814e90da44bfa03b6295a0616a897441acec,"138,030,748.772170459870786667",6.2913%,"$576,305,204.83",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xf977814e90da44bfa03b6295a0616a897441acec#tokenAnalytics
5,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,"90,000,000",4.1021%,"$375,767,493.08",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xbe0eb53f46cd790cd13851d5eff43d12404d33e8#tokenAnalytics
6,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xadf023a014462fdced0557c42454989ef102ec86,"52,500,151.98",2.3929%,"$219,198,338.85",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xadf023a014462fdced0557c42454989ef102ec86#tokenAnalytics
7,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x29bffdc2face0d5c4e95ad75d7acdc4fdd9a29b4,"50,121,405.928382421390326988",2.2845%,"$209,266,611.73",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x29bffdc2face0d5c4e95ad75d7acdc4fdd9a29b4#tokenAnalytics
8,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xe1498a9ef5c6aa51790a642f70c31238326b1724,"47,795,193.969403947398856147",2.1785%,"$199,554,224.66",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xe1498a9ef5c6aa51790a642f70c31238326b1724#tokenAnalytics
9,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x7473671b61e0a706cda153a929cb2115c86b35bf,"39,070,358.610696022568429614",1.7808%,"$163,126,341.21",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x7473671b61e0a706cda153a929cb2115c86b35bf#tokenAnalytics
10,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,"31,240,920.937222222",1.4239%,"$130,436,917.14",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfd09cf7cfffa9932e33668311c4777cb9db3c9be#tokenAnalytics
11,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,"31,066,574.553928182499141219",1.4160%,"$129,708,987.10",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce#tokenAnalytics
12,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa6ea3b9c04b8a38ff5e224e7c3d6937ca44c0ef9,"28,699,112.844249616612238725",1.3081%,"$119,824,374.30",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa6ea3b9c04b8a38ff5e224e7c3d6937ca44c0ef9#tokenAnalytics
13,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x1ea02b6367670fb06b9465106836eb31978f4db5,"26,690,605.79",1.2165%,"$111,438,466.96",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x1ea02b6367670fb06b9465106836eb31978f4db5#tokenAnalytics
14,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfb9c06b76d40dc506a3667b0ee68240089507f4c,"25,000,000",1.1395%,"$104,379,859.19",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfb9c06b76d40dc506a3667b0ee68240089507f4c#tokenAnalytics
15,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,"22,056,985.681576217572161505",1.0053%,"$92,092,202.38",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x6cc5f688a315f3dc28a7781717a9a798a59fda7b#tokenAnalytics
16,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,"20,353,524.01713869",0.9277%,"$84,979,918.84",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98#tokenAnalytics
17,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,"20,114,247.432691699",0.9168%,"$83,980,892.59",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xfa4b5be3f2f84f56703c42eb22142744e95a2c58#tokenAnalytics
18,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa685a61171bb30d4072b338c80cb7b2c865c873e,"18,291,194.570374987365890996",0.8337%,"$76,369,292.55",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xa685a61171bb30d4072b338c80cb7b2c865c873e#tokenAnalytics
19,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x34ea4138580435b5a521e460035edb19df1938c1,"18,245,338.883993909546685787",0.8316%,"$76,177,836.14",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x34ea4138580435b5a521e460035edb19df1938c1#tokenAnalytics
20,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x90c8161ade96fc4c11295d012a20bdfd88eb039f,"17,905,038.324177373689717495",0.8161%,"$74,757,015.16",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x90c8161ade96fc4c11295d012a20bdfd88eb039f#tokenAnalytics
21,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x3c7cd4e2ef23dece2dedb3e1ae8c4550bf9042d7,"16,865,234.57860019",0.7687%,"$70,415,632.42",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x3c7cd4e2ef23dece2dedb3e1ae8c4550bf9042d7#tokenAnalytics
22,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x72a53cdbbcc1b9efa39c834a540550e23463aacb,"16,693,905.90193066",0.7609%,"$69,700,301.89",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x72a53cdbbcc1b9efa39c834a540550e23463aacb#tokenAnalytics
23,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,"15,200,001",0.6928%,"$63,462,958.56",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x8d6f396d210d385033b348bcae9e4f9ea4e045bd#tokenAnalytics
24,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xd6216fc19db775df9774a6e33526131da7d19a2c,"14,340,614.58",0.6536%,"$59,874,853.22",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0xd6216fc19db775df9774a6e33526131da7d19a2c#tokenAnalytics
25,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708,"12,989,034.0208826",0.5920%,"$54,231,741.68",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x1c17622cfa9b6fd2043a76dfc39a5b5a109aa708#tokenAnalytics
26,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x742d35cc6634c0532925a3b844bc454e4438f44e,"10,556,436.81427",0.4812%,"$44,075,175.53",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x742d35cc6634c0532925a3b844bc454e4438f44e#tokenAnalytics
27,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x28c6c06298d514db089934071355e5743bf21d60,"10,000,820.101853326471142926",0.4558%,"$41,755,367.76",https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942?a=0x28c6c06298d514db089934071355e5743bf21d60#tokenAnalytics
