Rank,Address,Quantity,Percentage,Value,Analytics
51,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe12031d5dca200e049d64046ca93dab590ebc593,"10,730.76299999999950848",0.0107%,"$27,886.69",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe12031d5dca200e049d64046ca93dab590ebc593#tokenAnalytics
52,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2ae560d62d90440631c7c44ac1ba671af2588184,"10,452.879999999999475712",0.0105%,"$27,164.53",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2ae560d62d90440631c7c44ac1ba671af2588184#tokenAnalytics
53,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3f5e3a73acbeacce146ebc348aed8ab2faf6d17d,"8,362.304999999999574016",0.0084%,"$21,731.63",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3f5e3a73acbeacce146ebc348aed8ab2faf6d17d#tokenAnalytics
54,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf607edf80cefc9ec3a3286e7bdb8689271dc5285,"7,915.714248",0.0079%,"$20,571.05",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf607edf80cefc9ec3a3286e7bdb8689271dc5285#tokenAnalytics
55,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x6a086a4e2a471f0dc102942bb2d2ba275b4451a9,"7,700",0.0077%,"$20,010.46",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x6a086a4e2a471f0dc102942bb2d2ba275b4451a9#tokenAnalytics
56,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x216fcc8681c9988e566ce5839193bb4563bcd9f2,"7,676.923080046199963648",0.0077%,"$19,950.49",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x216fcc8681c9988e566ce5839193bb4563bcd9f2#tokenAnalytics
57,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd80d6ba288aaf025ec92c6d954e7c0aecb3e4156,"7,596.314206846149722112",0.0076%,"$19,741.00",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd80d6ba288aaf025ec92c6d954e7c0aecb3e4156#tokenAnalytics
58,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1197507de3ba3bd106d01bc23854d50a5625f448,"7,486.418",0.0075%,"$19,455.41",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1197507de3ba3bd106d01bc23854d50a5625f448#tokenAnalytics
59,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2c2bee6f80e922b83487150865f4d0caf9fc1c8f,"7,264.669000000000229376",0.0073%,"$18,879.14",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x2c2bee6f80e922b83487150865f4d0caf9fc1c8f#tokenAnalytics
60,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4f637a4c2b3911f927e0f15fde3b7228c611e7ec,"7,130.674323000000512",0.0071%,"$18,530.92",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4f637a4c2b3911f927e0f15fde3b7228c611e7ec#tokenAnalytics
61,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1156cbbf6a6ebf61118e49e0039981a8e6ba90ad,"6,901.815380000000442368",0.0069%,"$17,936.17",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x1156cbbf6a6ebf61118e49e0039981a8e6ba90ad#tokenAnalytics
62,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd84b89d77d9a9765ad8be691c6d951ca1c414942,"6,617.370000000000458752",0.0066%,"$17,196.96",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd84b89d77d9a9765ad8be691c6d951ca1c414942#tokenAnalytics
63,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x36713df978189aac22c71d94d28bd3d9b4ffedca,"6,600",0.0066%,"$17,151.82",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x36713df978189aac22c71d94d28bd3d9b4ffedca#tokenAnalytics
64,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5fdb013ec7665a60c8649c94dcb744a47ad60e34,"6,243.72497499999961088",0.0062%,"$16,225.95",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x5fdb013ec7665a60c8649c94dcb744a47ad60e34#tokenAnalytics
65,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8b65c55b6e2a3768e94b0c7a7f78eebbc7f53d72,"6,216.819999999999868928",0.0062%,"$16,156.03",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8b65c55b6e2a3768e94b0c7a7f78eebbc7f53d72#tokenAnalytics
66,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe436115aa131876deb77627ae01a5ff1a8046a7f,"6,007.57308000000016384",0.0060%,"$15,612.25",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xe436115aa131876deb77627ae01a5ff1a8046a7f#tokenAnalytics
67,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8756f96058c6b2f09462527d3fcac867f627de74,"5,997.400469100000444416",0.0060%,"$15,585.81",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8756f96058c6b2f09462527d3fcac867f627de74#tokenAnalytics
68,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x38e5a6c74a130fa687f326f2ac363fce18b8fa3e,"5,860",0.0059%,"$15,228.74",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x38e5a6c74a130fa687f326f2ac363fce18b8fa3e#tokenAnalytics
69,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x99ae160231c9a040b6fec8d5043b79963fd341b0,"5,760.900000000000393216",0.0058%,"$14,971.20",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x99ae160231c9a040b6fec8d5043b79963fd341b0#tokenAnalytics
70,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0ed4a4792b318d5b3d21475d64dbe71f65802664,"5,720.58",0.0057%,"$14,866.42",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0ed4a4792b318d5b3d21475d64dbe71f65802664#tokenAnalytics
71,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xef19ac8db3e2f7171edf5a90f31667edcd357c10,"5,700",0.0057%,"$14,812.94",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xef19ac8db3e2f7171edf5a90f31667edcd357c10#tokenAnalytics
72,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb58441e4cb78b57adfc18427bc31c105d3dc2497,"5,430.316312",0.0054%,"$14,112.09",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb58441e4cb78b57adfc18427bc31c105d3dc2497#tokenAnalytics
73,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4299cd8c0f205d7ea8a2efdb771953235b789bc3,"5,397.911",0.0054%,"$14,027.88",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4299cd8c0f205d7ea8a2efdb771953235b789bc3#tokenAnalytics
74,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xcf7e13912c3f1fe0ea1222929c71baa4b46e417b,"5,305.953026951071641249",0.0053%,"$13,788.90",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xcf7e13912c3f1fe0ea1222929c71baa4b46e417b#tokenAnalytics
75,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xdb607b7ba354a79963de0bd19391d0f39514939d,"5,277.139999999999868928",0.0053%,"$13,714.02",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xdb607b7ba354a79963de0bd19391d0f39514939d#tokenAnalytics
76,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x88e9cd7e4756141e2f0baba12f463d455ef260a9,"5,227",0.0052%,"$13,583.72",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x88e9cd7e4756141e2f0baba12f463d455ef260a9#tokenAnalytics
77,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0f7803e3bbbd9992e1c3a8bb18ba8980b8744023,"5,085.338000000000458752",0.0051%,"$13,215.58",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x0f7803e3bbbd9992e1c3a8bb18ba8980b8744023#tokenAnalytics
78,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf9fe519a29101ab295ef2ec23902a959ff397b2d,"5,069.565000000000229376",0.0051%,"$13,174.59",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xf9fe519a29101ab295ef2ec23902a959ff397b2d#tokenAnalytics
79,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x35683335c8ed6a64d61a12c3a46175a10066c71b,"4,866.943193000000356352",0.0049%,"$12,648.02",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x35683335c8ed6a64d61a12c3a46175a10066c71b#tokenAnalytics
80,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4e12a8353d94b10587187cf02d8e7fcf2547c5eb,"4,808",0.0048%,"$12,494.84",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x4e12a8353d94b10587187cf02d8e7fcf2547c5eb#tokenAnalytics
81,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x777810e0e8c4b77ccd05e19c769aa61720f50f30,"4,743.749999999999541248",0.0047%,"$12,327.87",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x777810e0e8c4b77ccd05e19c769aa61720f50f30#tokenAnalytics
82,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8e5f8dbe88db9db6dd8b68c3faf1b2cdc029682a,"4,580.504169099999838208",0.0046%,"$11,903.63",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x8e5f8dbe88db9db6dd8b68c3faf1b2cdc029682a#tokenAnalytics
83,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd54beaf9c44923afdec9bdd0ec331e8b8cdaa810,"4,504.716000000000131072",0.0045%,"$11,706.68",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xd54beaf9c44923afdec9bdd0ec331e8b8cdaa810#tokenAnalytics
84,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb21de9b33962ed1b5c6b504822283eef31a86d8a,"4,500.009999999999934464",0.0045%,"$11,694.45",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0xb21de9b33962ed1b5c6b504822283eef31a86d8a#tokenAnalytics
85,https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9,"4,492.482991",0.0045%,"$11,674.89",https://etherscan.io/token/0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c?a=0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9#tokenAnalytics
