Rank,Address,Quantity,Percentage,Value,Analytics
1,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x000000000000000000000000000000000000dead,"58,878,322,830,184,200.709899715",58.8783%,"$276,728,117.30",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x000000000000000000000000000000000000dead#tokenAnalytics
2,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x4982085c9e2f89f2ecb8131eca71afad896e89cb,"3,423,740,090,205,080.736880523",3.4237%,"$16,091,578.42",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x4982085c9e2f89f2ecb8131eca71afad896e89cb#tokenAnalytics
3,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb450cbf17f6723ef9c1bf3c3f0e0aba368d09bf5,"1,769,062,097,365,050.260964715",1.7691%,"$8,314,591.86",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xb450cbf17f6723ef9c1bf3c3f0e0aba368d09bf5#tokenAnalytics
4,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa9a3b32605e95f4b2409f4acce9cf8d16fbac980,"1,401,842,445,239,280.393147161",1.4018%,"$6,588,659.49",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xa9a3b32605e95f4b2409f4acce9cf8d16fbac980#tokenAnalytics
5,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc7029e939075f48fa2d5953381660c7d01570171,"795,473,970,570,288.637724901",0.7955%,"$3,738,727.66",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xc7029e939075f48fa2d5953381660c7d01570171#tokenAnalytics
6,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x7ad0aac6c72710a4764e67676c503a35697097a2,"419,550,463,530,934.564667777",0.4196%,"$1,971,887.18",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x7ad0aac6c72710a4764e67676c503a35697097a2#tokenAnalytics
7,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x0badb101f8eeb7b062e0ea5cad65f3658bacd974,"418,152,880,483,480.842120656",0.4182%,"$1,965,318.54",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x0badb101f8eeb7b062e0ea5cad65f3658bacd974#tokenAnalytics
8,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf009f26ab4014f7d2b58ca6cfd79e376f99bee92,"386,743,044,199,632.161808096",0.3867%,"$1,817,692.31",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf009f26ab4014f7d2b58ca6cfd79e376f99bee92#tokenAnalytics
9,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x37e5df242f61fb730d15df71b536ea2fb094caec,"379,040,764,300,937.875232832",0.3790%,"$1,781,491.59",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0x37e5df242f61fb730d15df71b536ea2fb094caec#tokenAnalytics
10,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xce55977e7b33e4e5534bd370ee31504fc7ac9adc,"307,505,528,331,277.390078527",0.3075%,"$1,445,275.98",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xce55977e7b33e4e5534bd370ee31504fc7ac9adc#tokenAnalytics
11,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf81105f111c4e072a67612dce28e0d2c62295e7f,"299,917,151,091,332.170405937",0.2999%,"$1,409,610.61",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xf81105f111c4e072a67612dce28e0d2c62295e7f#tokenAnalytics
12,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xcd70e5e7976ba3480cfacf12becd928c394e7296,"292,460,613,597,965.557015546",0.2925%,"$1,374,564.88",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xcd70e5e7976ba3480cfacf12becd928c394e7296#tokenAnalytics
13,https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe0b54d9261505d247b1869f5d4bea4f1af6571ff,"285,672,700,608,503.145432598",0.2857%,"$1,342,661.69",https://bscscan.com/token/0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50?a=0xe0b54d9261505d247b1869f5d4bea4f1af6571ff#tokenAnalytics
